Substantivo	Consoantes	Vogais	Sílabas	Tônica	Final	Tipo
determinação	5	7	5	oxítona	ão	T2
sabor	3	2	2	oxítona	or	T4
obrigação	3	6	4	oxítona	ão	T2
computação	4	6	4	oxítona	ão	T2
conexão	3	4	3	oxítona	ão	T2
configuração	5	7	5	oxítona	ão	T2
principal	6	3	3	oxítona	al	T5
item	2	2	2	paroxítona	em	T8
delegação	3	6	4	oxítona	ão	T2
túnel	3	2	2	paroxítona	el	T5
movimentação	5	7	5	oxítona	ão	T2
pior	2	2	2	oxítona	or	T4
doutor	3	3	2	oxítona	or	T4
revólver	5	3	3	paroxítona	er	T4
natação	2	5	3	oxítona	ão	T2
tradutor	5	3	3	oxítona	or	T4
litoral	4	3	3	oxítona	al	T5
comercialização	6	9	7	oxítona	ão	T2
automóvel	4	5	4	paroxítona	el	T5
matriz	4	2	2	oxítona	iz	T4
vencedor	5	3	3	oxítona	or	T4
revelação	3	6	4	oxítona	ão	T2
coragem	4	3	3	paroxítona	em	T8
precisão	4	4	3	oxítona	ão	T2
preservação	5	6	4	oxítona	ão	T2
contratação	5	6	4	oxítona	ão	T2
álbum	3	2	2	paroxítona	um	T8
exibição	2	6	4	oxítona	ão	T2
agricultor	6	4	4	oxítona	or	T4
alimentação	4	7	5	oxítona	ão	T2
verão	2	3	2	oxítona	ão	T2
especulação	4	7	5	oxítona	ão	T2
tensão	3	3	2	oxítona	ão	T2
indexação	3	6	4	oxítona	ão	T2
indexador	5	4	4	oxítona	or	T4
descrição	4	5	3	oxítona	ão	T2
capitão	3	4	3	oxítona	ão	T3
conservação	5	6	4	oxítona	ão	T2
comprador	6	3	3	oxítona	or	T4
prestação	4	5	3	oxítona	ão	T2
ascensão	4	4	3	oxítona	ão	T2
articulação	4	7	5	oxítona	ão	T2
agressão	4	4	3	oxítona	ão	T2
parecer	4	3	3	oxítona	er	T4
plantão	4	3	2	oxítona	ão	T2
emoção	1	5	3	oxítona	ão	T2
obsessão	4	4	3	oxítona	ão	T2
andaluz	4	3	3	oxítona	uz	T4
documentação	5	7	5	oxítona	ão	T2
vocação	2	5	3	oxítona	ão	T2
indicação	3	6	4	oxítona	ão	T2
sustentação	5	6	4	oxítona	ão	T2
cooperação	3	7	5	oxítona	ão	T2
reestruturação	6	8	6	oxítona	ão	T2
localização	4	7	5	oxítona	ão	T2
inclusão	4	4	3	oxítona	ão	T2
repetição	3	6	4	oxítona	ão	T2
exclusão	4	4	3	oxítona	ão	T2
multidão	4	4	3	oxítona	ão	T2
fundador	5	3	3	oxítona	or	T4
pensador	5	3	3	oxítona	or	T4
erosão	2	4	3	oxítona	ão	T2
central	5	2	2	oxítona	al	T5
pensão	3	3	2	oxítona	ão	T2
motor	3	2	2	oxítona	or	T4
estiagem	4	4	4	paroxítona	em	T8
transação	4	5	3	oxítona	ão	T2
liminar	4	3	3	oxítona	ar	T4
devolução	3	6	4	oxítona	ão	T2
cassação	3	5	3	oxítona	ão	T2
temor	3	2	2	oxítona	or	T4
adesão	2	4	3	oxítona	ão	T2
proibição	3	6	3	oxítona	ão	T2
condenação	4	6	4	oxítona	ão	T2
intelectual	6	5	5	oxítona	al	T5
lição	1	4	2	oxítona	ão	T2
inspiração	4	6	4	oxítona	ão	T2
vereador	4	4	4	oxítona	or	T4
poluição	2	6	3	oxítona	ão	T2
servidor	5	3	3	oxítona	or	T4
recessão	4	4	3	oxítona	ão	T2
constatação	5	6	4	oxítona	ão	T2
descentralização	8	8	6	oxítona	ão	T2
liquidação	3	7	4	oxítona	ão	T2
aceitação	2	7	4	oxítona	ão	T2
eleitor	3	4	3	oxítona	or	T4
administrador	8	5	5	oxítona	or	T4
dever	3	2	2	oxítona	er	T4
imóvel	3	3	3	paroxítona	el	T5
iluminação	3	7	5	oxítona	ão	T2
execução	2	6	4	oxítona	ão	T2
identificação	5	8	6	oxítona	ão	T2
colonização	4	7	5	oxítona	ão	T2
microcomputador	9	6	6	oxítona	or	T4
narração	3	5	3	oxítona	ão	T2
destruição	4	6	3	oxítona	ão	T2
vendedor	5	3	3	oxítona	or	T4
diminuição	3	7	4	oxítona	ão	T2
permissão	5	4	3	oxítona	ão	T2
doação	1	5	3	oxítona	ão	T2
consideração	5	7	5	oxítona	ão	T2
prevenção	4	5	3	oxítona	ão	T2
coronel	4	3	3	oxítona	el	T5
metal	3	2	2	oxítona	al	T5
terminal	5	3	3	oxítona	al	T5
contradição	5	6	4	oxítona	ão	T2
isenção	2	5	3	oxítona	ão	T2
proporção	4	5	3	oxítona	ão	T2
demonstração	6	6	4	oxítona	ão	T2
atualização	3	8	6	oxítona	ão	T2
comercial	5	4	4	oxítona	al	T5
acionador	4	5	5	oxítona	or	T4
horror	4	2	2	oxítona	or	T4
degradação	4	6	4	oxítona	ão	T2
inauguração	3	8	5	oxítona	ão	T2
grão	2	2	1	oxítona	ão	T1
reeleição	2	7	4	oxítona	ão	T2
percentual	6	4	4	oxítona	al	T5
manipulação	4	7	5	oxítona	ão	T2
editorial	4	5	5	oxítona	al	T5
animação	2	6	4	oxítona	ão	T2
autogestão	4	6	4	oxítona	ão	T2
expulsão	4	4	3	oxítona	ão	T2
fundão	3	3	2	oxítona	ão	T2
canção	2	4	2	oxítona	ão	T2
terror	4	2	2	oxítona	or	T4
normal	4	2	2	oxítona	al	T5
combustível	7	4	4	paroxítona	el	T5
defasagem	5	4	4	paroxítona	em	T8
distinção	4	5	3	oxítona	ão	T2
álcool	3	3	3	proparoxítona	ol	T5
regulamentação	6	8	6	oxítona	ão	T2
militar	4	3	3	oxítona	ar	T4
salão	2	3	2	oxítona	ão	T2
edital	3	3	3	oxítona	al	T5
ilusão	2	4	3	oxítona	ão	T2
refém	3	2	2	oxítona	ém	T8
placar	4	2	2	oxítona	ar	T4
reclamação	4	6	4	oxítona	ão	T2
sertão	3	3	2	oxítona	ão	T2
preparador	6	4	4	oxítona	or	T4
patrão	3	3	2	oxítona	ão	T2
desertificação	6	8	6	oxítona	ão	T2
captação	3	5	3	oxítona	ão	T2
aquisição	2	7	4	oxítona	ão	T2
teor	2	2	2	oxítona	or	T4
ritual	3	3	3	oxítona	al	T5
lesão	2	3	2	oxítona	ão	T2
menor	3	2	2	oxítona	or	T4
modificação	4	7	5	oxítona	ão	T2
trem	3	1	1	oxítona	em	T8
perseguição	4	7	4	oxítona	ão	T2
repressão	5	4	3	oxítona	ão	T2
repercussão	6	5	4	oxítona	ão	T2
coalizão	3	5	4	oxítona	ão	T2
inscrição	4	5	3	oxítona	ão	T2
ilustração	4	6	4	oxítona	ão	T2
boletim	4	3	3	oxítona	im	T8
vigor	3	2	2	oxítona	or	T4
armazém	4	3	3	oxítona	ém	T8
amendoim	4	4	3	oxítona	im	T8
aceleração	3	7	5	oxítona	ão	T2
adaptação	3	6	4	oxítona	ão	T2
amostragem	6	4	4	paroxítona	em	T8
discriminação	6	7	5	oxítona	ão	T2
profissional	7	5	5	oxítona	al	T5
continuação	4	7	5	oxítona	ão	T2
argumentação	5	7	5	oxítona	ão	T2
unificação	3	7	5	oxítona	ão	T2
papelão	3	4	3	oxítona	ão	T2
depressão	5	4	3	oxítona	ão	T2
marginal	5	3	3	oxítona	al	T5
vestibular	6	4	4	oxítona	ar	T4
popular	4	3	3	oxítona	ar	T4
locutor	4	3	3	oxítona	or	T4
conector	5	3	3	oxítona	or	T4
porcentagem	7	4	4	paroxítona	em	T8
colesterol	6	4	4	oxítona	ol	T5
vacinação	3	6	4	oxítona	ão	T2
desvalorização	6	8	6	oxítona	ão	T2
corretor	5	3	3	oxítona	or	T4
linhagem	5	3	3	paroxítona	em	T8
corredor	5	3	3	oxítona	or	T4
locação	2	5	3	oxítona	ão	T2
ambição	2	5	3	oxítona	ão	T2
convicção	4	5	3	oxítona	ão	T2
habilitação	4	7	5	oxítona	ão	T2
omissão	3	4	3	oxítona	ão	T2
libertação	4	6	4	oxítona	ão	T2
major	3	2	2	oxítona	or	T4
reciclagem	6	4	4	paroxítona	em	T8
interrupção	5	6	4	oxítona	ão	T2
satisfação	4	6	4	oxítona	ão	T2
provocação	4	6	4	oxítona	ão	T2
investigador	7	5	5	oxítona	or	T4
titular	4	3	3	oxítona	ar	T4
vapor	3	2	2	oxítona	or	T4
colagem	4	3	3	paroxítona	em	T8
fusão	2	3	2	oxítona	ão	T2
rival	3	2	2	oxítona	al	T5
automação	2	7	4	oxítona	ão	T2
instrução	4	5	3	oxítona	ão	T2
semifinal	5	4	4	oxítona	al	T5
nariz	3	2	2	oxítona	iz	T4
fóssil	4	2	2	paroxítona	il	T7
radiação	2	6	4	oxítona	ão	T2
lavagem	4	3	3	paroxítona	em	T8
premiação	3	6	4	oxítona	ão	T2
condução	3	5	3	oxítona	ão	T2
abordagem	5	4	4	paroxítona	em	T8
exemplar	5	3	3	oxítona	ar	T4
armação	2	5	3	oxítona	ão	T2
industrialização	7	9	7	oxítona	ão	T2
inovação	2	6	4	oxítona	ão	T2
embalagem	5	4	4	paroxítona	em	T8
parlamentar	7	4	4	oxítona	ar	T4
celular	4	3	3	oxítona	ar	T4
irritação	3	6	4	oxítona	ão	T2
aproximação	4	7	5	oxítona	ão	T2
frustração	5	5	3	oxítona	ão	T2
restrição	4	5	3	oxítona	ão	T2
ladrão	3	3	2	oxítona	ão	T2
decoração	3	6	4	oxítona	ão	T2
comemoração	4	7	5	oxítona	ão	T2
rebelião	3	5	4	oxítona	ão	T2
paralisação	4	7	5	oxítona	ão	T2
reputação	3	6	4	oxítona	ão	T2
demolição	3	6	4	oxítona	ão	T2
eliminação	3	7	5	oxítona	ão	T2
negação	2	5	3	oxítona	ão	T2
portátil	5	3	3	paroxítona	il	T7
narrador	5	3	3	oxítona	or	T4
plantel	5	2	2	oxítona	el	T5
controlador	7	4	4	oxítona	or	T4
fórum	3	2	2	paroxítona	um	T8
interlocutor	7	5	5	oxítona	or	T4
oficial	3	4	4	oxítona	al	T5
redor	3	2	2	oxítona	or	T4
explorador	6	4	4	oxítona	or	T4
garçom	3	3	2	oxítona	om	T8
coquetel	4	4	3	oxítona	el	T5
simental	5	3	3	oxítona	al	T5
pastor	4	2	2	oxítona	or	T4
reitor	3	3	2	oxítona	or	T4
entender	5	3	3	oxítona	er	T4
desvantagem	7	4	4	paroxítona	em	T8
bobagem	4	3	3	paroxítona	em	T8
altar	3	2	2	oxítona	ar	T4
bagagem	4	3	3	paroxítona	em	T8
inventor	5	3	3	oxítona	or	T4
fornecedor	6	4	4	oxítona	or	T4
torcedor	5	3	3	oxítona	or	T4
escultor	5	3	3	oxítona	or	T4
cristal	5	2	2	oxítona	al	T5
sucessor	5	3	3	oxítona	or	T4
quórum	3	3	2	paroxítona	um	T8
desembargador	8	5	5	oxítona	or	T4
cadáver	4	3	3	paroxítona	er	T4
coral	3	2	2	oxítona	al	T5
precursor	6	3	3	oxítona	or	T4
educador	4	4	4	oxítona	or	T4
microprocessador	10	6	6	oxítona	or	T4
tenor	3	2	2	oxítona	or	T4
receptor	5	3	3	oxítona	or	T4
trator	4	2	2	oxítona	or	T4
exportador	6	4	4	oxítona	or	T4
operador	4	4	4	oxítona	or	T4
filial	3	3	3	oxítona	al	T5
armazenagem	6	5	5	paroxítona	em	T8
nacional	4	4	4	oxítona	al	T5
indicador	5	4	4	oxítona	or	T4
flor	3	1	1	oxítona	or	T4
corregedor	6	4	4	oxítona	or	T4
social	3	3	3	oxítona	al	T5
telejornal	6	4	4	oxítona	al	T5
garagem	4	3	3	paroxítona	em	T8
industrial	6	4	4	oxítona	al	T5
morador	4	3	3	oxítona	or	T4
cruz	3	1	1	oxítona	uz	T4
fiscal	4	2	2	oxítona	al	T5
contador	5	3	3	oxítona	or	T4
redutor	4	3	3	oxítona	or	T4
defensor	5	3	3	oxítona	or	T4
protetor	5	3	3	oxítona	or	T4
curador	4	3	3	oxítona	or	T4
caçador	3	4	3	oxítona	or	T4
nuvem	3	2	2	paroxítona	em	T8
espionagem	5	5	5	paroxítona	em	T8
essencial	5	4	4	oxítona	al	T5
postal	4	2	2	oxítona	al	T5
raiz	2	2	2	oxítona	iz	T4
zíper	3	2	2	paroxítona	er	T4
capim	3	2	2	oxítona	im	T8
tambor	4	2	2	oxítona	or	T4
radar	3	2	2	oxítona	ar	T4
tradicional	6	5	5	oxítona	al	T5
inspetor	5	3	3	oxítona	or	T4
telespectador	8	5	5	oxítona	or	T4
federal	4	3	3	oxítona	al	T5
natural	4	3	3	oxítona	al	T5
admirador	5	4	4	oxítona	or	T4
cupom	3	2	2	oxítona	om	T8
farol	3	2	2	oxítona	ol	T5
silenciador	6	5	5	oxítona	or	T4
tiragem	4	3	3	paroxítona	em	T8
decolagem	5	4	4	paroxítona	em	T8
armador	4	3	3	oxítona	or	T4
levantador	6	4	4	oxítona	or	T4
repescagem	6	4	4	paroxítona	em	T8
comum	3	2	2	oxítona	um	T8
simulador	5	4	4	oxítona	or	T4
musical	4	3	3	oxítona	al	T5
sacanagem	5	4	4	paroxítona	em	T8
cocar	3	2	2	oxítona	ar	T4
imperador	5	4	4	oxítona	or	T4
arbitragem	6	4	4	paroxítona	em	T8
mentor	4	2	2	oxítona	or	T4
importador	6	4	4	oxítona	or	T4
fundamental	7	4	4	oxítona	al	T5
revendedor	6	4	4	oxítona	or	T4
hospedagem	6	4	4	paroxítona	em	T8
pastagem	5	3	3	paroxítona	em	T8
devedor	4	3	3	oxítona	or	T4
jejum	3	2	2	oxítona	um	T8
doador	3	3	3	oxítona	or	T4
articulador	6	5	5	oxítona	or	T4
referencial	6	5	5	oxítona	al	T5
colaborador	6	5	5	oxítona	or	T4
anel	2	2	2	oxítona	el	T5
cardeal	4	3	3	oxítona	al	T5
vendaval	5	3	3	oxítona	al	T5
incinerador	6	5	5	oxítona	or	T4
aprendizagem	7	5	5	paroxítona	em	T8
auxiliar	3	5	4	oxítona	ar	T4
malandragem	7	4	4	paroxítona	em	T8
bacharel	5	3	3	oxítona	el	T5
multinacional	7	6	6	oxítona	al	T5
empregador	6	4	4	oxítona	or	T4
vetor	3	2	2	oxítona	or	T4
azar	2	2	2	oxítona	ar	T4
espiral	4	3	3	oxítona	al	T5
marcador	5	3	3	oxítona	or	T4
ditador	4	3	3	oxítona	or	T4
observador	6	4	4	oxítona	or	T4
rancor	4	2	2	oxítona	or	T4
pincel	4	2	2	oxítona	el	T5
cursor	4	2	2	oxítona	or	T4
gravador	5	3	3	oxítona	or	T4
míssil	4	2	2	paroxítona	il	T7
folhetim	5	3	3	oxítona	im	T8
apresentador	7	5	5	oxítona	or	T4
catedral	5	3	3	oxítona	al	T5
ganhador	5	3	3	oxítona	or	T4
detector	5	3	3	oxítona	or	T4
auditor	3	4	3	oxítona	or	T4
lençol	3	3	2	oxítona	ol	T5
secagem	4	3	3	paroxítona	em	T8
listagem	5	3	3	paroxítona	em	T8
selecionador	6	6	6	oxítona	or	T4
diferencial	6	5	5	oxítona	al	T5
virgem	4	2	2	paroxítona	em	T8
tomador	4	3	3	oxítona	or	T4
convencional	7	5	5	oxítona	al	T5
supervisor	6	4	4	oxítona	or	T4
recontagem	6	4	4	paroxítona	em	T8
quartel	4	3	2	oxítona	el	T5
falar	3	2	2	oxítona	ar	T4
homossexual	6	5	5	oxítona	al	T5
portador	5	3	3	oxítona	or	T4
atual	2	3	3	oxítona	al	T5
presidenciável	8	6	6	paroxítona	el	T5
radical	4	3	3	oxítona	al	T5
escrivão	4	4	3	oxítona	ão	T3
plural	4	2	2	oxítona	al	T5
estuprador	6	4	4	oxítona	or	T4
acelerador	5	5	5	oxítona	or	T4
antecessor	6	4	4	oxítona	or	T4
jardim	4	2	2	oxítona	im	T8
condutor	5	3	3	oxítona	or	T4
checagem	5	3	3	paroxítona	em	T8
desordem	5	3	3	paroxítona	em	T8
fuzil	3	2	2	oxítona	il	T6
supercomputador	9	6	6	oxítona	or	T4
anterior	4	4	4	oxítona	or	T4
azul	2	2	2	oxítona	ul	T5
cartel	4	2	2	oxítona	el	T5
organizador	6	5	5	oxítona	or	T4
massagem	5	3	3	paroxítona	em	T8
visual	3	3	3	oxítona	al	T5
conservador	7	4	4	oxítona	or	T4
gerenciador	6	5	5	oxítona	or	T4
estabilizador	7	6	6	oxítona	or	T4
adaptador	5	4	4	oxítona	or	T4
sintetizador	7	5	5	oxítona	or	T4
amplificador	7	5	5	oxítona	or	T4
visor	3	2	2	oxítona	or	T4
orientador	5	5	5	oxítona	or	T4
colecionador	6	6	6	oxítona	or	T4
frescor	5	2	2	oxítona	or	T4
maquiagem	4	5	4	paroxítona	em	T8
camarim	4	3	3	oxítona	im	T8
filmagem	5	3	3	paroxítona	em	T8
cicatriz	5	3	3	oxítona	iz	T4
insolúvel	5	4	4	paroxítona	el	T5
entardecer	6	4	4	oxítona	er	T4
dizer	3	2	2	oxítona	er	T4
anoitecer	4	5	4	oxítona	er	T4
invisível	5	4	4	paroxítona	el	T5
drenagem	5	3	3	paroxítona	em	T8
regulagem	5	4	4	paroxítona	em	T8
mineral	4	3	3	oxítona	al	T5
estocagem	5	4	4	paroxítona	em	T8
mortal	4	2	2	oxítona	al	T5
formulador	6	4	4	oxítona	or	T4
estivador	5	4	4	oxítona	or	T4
ardil	3	2	2	oxítona	il	T6
tumor	3	2	2	oxítona	or	T4
mercador	5	3	3	oxítona	or	T4
conciliador	6	5	5	oxítona	or	T4
correr	4	2	2	oxítona	er	T4
compostagem	7	4	4	paroxítona	em	T8
elevador	4	4	4	oxítona	or	T4
enfermagem	6	4	4	paroxítona	em	T8
ultrapassagem	8	5	5	paroxítona	em	T8
fiador	3	3	3	oxítona	or	T4
imponderável	7	5	5	paroxítona	el	T5
colar	3	2	2	oxítona	ar	T4
civil	3	2	2	oxítona	il	T6
particular	6	4	4	oxítona	ar	T4
ancoragem	5	4	4	paroxítona	em	T8
semestral	6	3	3	oxítona	al	T5
freezer	4	3	3	oxítona	er	T4
entregador	6	4	4	oxítona	or	T4
salvador	5	3	3	oxítona	or	T4
credor	4	2	2	oxítona	or	T4
pudor	3	2	2	oxítona	or	T4
perdedor	5	3	3	oxítona	or	T4
metragem	5	3	3	paroxítona	em	T8
calcanhar	6	3	3	oxítona	ar	T4
tutorial	4	4	4	oxítona	al	T5
navegador	5	4	4	oxítona	or	T4
modelagem	5	4	4	paroxítona	em	T8
voltagem	5	3	3	paroxítona	em	T8
traçador	4	4	3	oxítona	or	T4
filtragem	6	3	3	paroxítona	em	T8
pescador	5	3	3	oxítona	or	T4
colegial	4	4	4	oxítona	al	T5
carrossel	6	3	3	oxítona	el	T5
conquistador	7	5	4	oxítona	or	T4
motel	3	2	2	oxítona	el	T5
pastel	4	2	2	oxítona	el	T5
matador	4	3	3	oxítona	or	T4
colonizador	6	5	5	oxítona	or	T4
vertigem	5	3	3	paroxítona	em	T8
canibal	4	3	3	oxítona	al	T5
aprendiz	5	3	3	oxítona	iz	T4
fervor	4	2	2	oxítona	or	T4
descobridor	7	4	4	oxítona	or	T4
ancestral	6	3	3	oxítona	al	T5
infrator	5	3	3	oxítona	or	T4
angular	4	3	3	oxítona	ar	T4
médium	3	3	2	paroxítona	um	T8
reator	3	3	3	oxítona	or	T4
atirador	4	4	4	oxítona	or	T4
aquecedor	4	5	4	oxítona	or	T4
marchador	6	3	3	oxítona	or	T4
cafeicultor	6	5	4	oxítona	or	T4
inferior	4	4	4	oxítona	or	T4
sensor	4	2	2	oxítona	or	T4
secador	4	3	3	oxítona	or	T4
curral	4	2	2	oxítona	al	T5
pelagem	4	3	3	paroxítona	em	T8
subprocurador	8	5	5	oxítona	or	T4
similar	4	3	3	oxítona	ar	T4
gozador	4	3	3	oxítona	or	T4
descartável	7	4	4	paroxítona	el	T5
expositor	5	4	4	oxítona	or	T4
mediador	4	4	4	oxítona	or	T4
prestador	6	3	3	oxítona	or	T4
molar	3	2	2	oxítona	ar	T4
redator	4	3	3	oxítona	or	T4
possível	5	3	3	paroxítona	el	T5
regional	4	4	4	oxítona	al	T5
triagem	4	3	3	paroxítona	em	T8
animador	4	4	4	oxítona	or	T4
impostor	5	3	3	oxítona	or	T4
liberal	4	3	3	oxítona	al	T5
estopim	4	3	3	oxítona	im	T8
odor	2	2	2	oxítona	or	T4
mundial	4	3	3	oxítona	al	T5
singular	5	3	3	oxítona	ar	T4
agressor	5	3	3	oxítona	or	T4
estadual	4	4	4	oxítona	al	T5
isopor	3	3	3	oxítona	or	T4
condicionador	7	6	6	oxítona	or	T4
cobrador	5	3	3	oxítona	or	T4
amortecedor	6	5	5	oxítona	or	T4
carceragem	6	4	4	paroxítona	em	T8
garimpagem	6	4	4	paroxítona	em	T8
maxilar	4	3	3	oxítona	ar	T4
bumbum	4	2	2	oxítona	um	T8
manancial	5	4	4	oxítona	al	T5
municipal	5	4	4	oxítona	al	T5
retrovisor	6	4	4	oxítona	or	T4
discagem	5	3	3	paroxítona	em	T8
ramal	3	2	2	oxítona	al	T5
debatedor	5	4	4	oxítona	or	T4
sequestrador	7	5	4	oxítona	or	T4
especulador	6	5	5	oxítona	or	T4
trampolim	6	3	3	oxítona	im	T8
cristão	4	3	2	oxítona	ão	T1
limiar	3	3	3	oxítona	ar	T4
engrenagem	6	4	4	paroxítona	em	T8
tecelagem	5	4	4	paroxítona	em	T8
poupador	4	4	3	oxítona	or	T4
locador	4	3	3	oxítona	or	T4
suor	2	2	2	oxítona	or	T4
vaivém	3	3	2	oxítona	ém	T8
dorsal	4	2	2	oxítona	al	T5
tricolor	5	3	3	oxítona	or	T4
anular	3	3	3	oxítona	ar	T4
astral	4	2	2	oxítona	al	T5
avestruz	5	3	3	oxítona	uz	T4
tupiniquim	5	5	4	oxítona	im	T8
goleador	4	4	4	oxítona	or	T4
portal	4	2	2	oxítona	al	T5
construtor	7	3	3	oxítona	or	T4
juvenil	4	3	3	oxítona	il	T6
conhecedor	6	4	4	oxítona	or	T4
quadrangular	7	5	4	oxítona	ar	T4
racional	4	4	4	oxítona	al	T5
causador	4	4	3	oxítona	or	T4
neandertal	6	4	4	oxítona	al	T5
gerador	4	3	3	oxítona	or	T4
coletor	4	3	3	oxítona	or	T4
transmissor	8	3	3	oxítona	or	T4
revisor	4	3	3	oxítona	or	T4
comunicador	6	5	5	oxítona	or	T4
arsenal	4	3	3	oxítona	al	T5
móvel	3	2	2	paroxítona	el	T5
idealizador	5	6	6	oxítona	or	T4
falsificador	7	5	5	oxítona	or	T4
galinhagem	6	4	4	paroxítona	em	T8
matagal	4	3	3	oxítona	al	T5
refilmagem	6	4	4	paroxítona	em	T8
marrom	4	2	2	oxítona	om	T8
vendagem	5	3	3	paroxítona	em	T8
perseguidor	6	5	4	oxítona	or	T4
roedor	3	3	3	oxítona	or	T4
pedal	3	2	2	oxítona	al	T5
cachecol	5	3	3	oxítona	ol	T5
vertical	5	3	3	oxítona	al	T5
trivial	4	3	3	oxítona	al	T5
sutil	3	2	2	oxítona	il	T6
funeral	4	3	3	oxítona	al	T5
batom	3	2	2	oxítona	om	T8
maquiador	4	5	4	oxítona	or	T4
miserável	5	4	4	paroxítona	el	T5
regulador	5	4	4	oxítona	or	T4
cantar	4	2	2	oxítona	ar	T4
tonel	3	2	2	oxítona	el	T5
nobel	3	2	2	oxítona	el	T5
confessional	7	5	5	oxítona	al	T5
mural	3	2	2	oxítona	al	T5
carruagem	5	4	4	paroxítona	em	T8
ferrugem	5	3	3	paroxítona	em	T8
vadiagem	4	4	4	paroxítona	em	T8
memorial	4	4	4	oxítona	al	T5
sondagem	5	3	3	paroxítona	em	T8
invasor	4	3	3	oxítona	or	T4
individual	5	5	5	oxítona	al	T5
fuligem	4	3	3	paroxítona	em	T8
prestidigitador	9	6	6	oxítona	or	T4
pensar	4	2	2	oxítona	ar	T4
bordel	4	2	2	oxítona	el	T5
desmontagem	7	4	4	paroxítona	em	T8
universal	5	4	4	oxítona	al	T5
anzol	3	2	2	oxítona	ol	T5
tabelião	3	5	4	oxítona	ão	T3
cultivador	6	4	4	oxítona	or	T4
ventilador	6	4	4	oxítona	or	T4
agenciador	5	5	5	oxítona	or	T4
desafagem	5	4	4	paroxítona	em	T8
cafezal	4	3	3	oxítona	al	T5
citricultor	7	4	4	oxítona	or	T4
medidor	4	3	3	oxítona	or	T4
rural	3	2	2	oxítona	al	T5
ejetor	3	3	3	oxítona	or	T4
legal	3	2	2	oxítona	al	T5
retroprojetor	8	5	5	oxítona	or	T4
entendedor	6	4	4	oxítona	or	T4
insondável	6	4	4	paroxítona	el	T5
pagador	4	3	3	oxítona	or	T4
quintal	4	3	2	oxítona	al	T5
apostador	5	4	4	oxítona	or	T4
opositor	4	4	4	oxítona	or	T4
vegetal	4	3	3	oxítona	al	T5
condicional	6	5	5	oxítona	al	T5
vagem	3	2	2	paroxítona	em	T8
alavancagem	6	5	5	paroxítona	em	T8
quadril	4	3	2	oxítona	il	T6
provável	5	3	3	paroxítona	el	T5
canavial	4	4	4	oxítona	al	T5
circuncisador	8	5	5	oxítona	or	T4
anotador	4	4	4	oxítona	or	T4
motim	3	2	2	oxítona	im	T8
ambiental	5	4	4	oxítona	al	T5
fiscalizador	7	5	5	oxítona	or	T4
salarial	4	4	4	oxítona	al	T5
razoável	4	4	4	paroxítona	el	T5
antigripal	6	4	4	oxítona	al	T5
internacional	7	6	6	oxítona	al	T5
corretagem	6	4	4	paroxítona	em	T8
revisional	5	5	5	oxítona	al	T5
aplicador	5	4	4	oxítona	or	T4
trocador	5	3	3	oxítona	or	T4
patrimonial	6	5	5	oxítona	al	T5
disponível	6	4	4	paroxítona	el	T5
adicional	4	5	5	oxítona	al	T5
constitucional	8	6	6	oxítona	al	T5
chamariz	5	3	3	oxítona	iz	T4
têxtil	4	2	2	paroxítona	il	T7
bocal	3	2	2	oxítona	al	T5
minicarnaval	7	5	5	oxítona	al	T5
ruim	2	2	2	oxítona	im	T8
politicagem	6	5	5	paroxítona	em	T8
audiovisual	4	7	6	oxítona	al	T5
blindagem	6	3	3	paroxítona	em	T8
multicultural	8	5	5	oxítona	al	T5
diagonal	4	4	4	oxítona	al	T5
recomendável	7	5	5	paroxítona	el	T5
punhal	4	2	2	oxítona	al	T5
opcional	4	4	4	oxítona	al	T5
sarapatel	5	4	4	oxítona	el	T5
minimal	4	3	3	oxítona	al	T5
bazar	3	2	2	oxítona	ar	T4
arraial	3	4	3	oxítona	al	T5
arquirrival	6	5	4	oxítona	al	T5
raspagem	5	3	3	paroxítona	em	T8
atum	2	2	2	oxítona	um	T8
instrumental	8	4	4	oxítona	al	T5
cordial	4	3	3	oxítona	al	T5
horrível	5	3	3	paroxítona	el	T5
aterrissagem	7	5	5	paroxítona	em	T8
megapolicial	6	6	6	oxítona	al	T5
heterossexual	7	6	6	oxítona	al	T5
formal	4	2	2	oxítona	al	T5
bênção	2	4	2	paroxítona	ão	T1
réptil	4	2	2	paroxítona	il	T7
hábil	3	2	2	paroxítona	il	T7
vogal	3	2	2	oxítona	al	T5
inútil	3	3	3	paroxítona	il	T7
experimental	7	5	5	oxítona	al	T5
desnível	5	3	3	paroxítona	el	T5
insuportável	7	5	5	paroxítona	el	T5
imprevisível	7	5	5	paroxítona	el	T5
indizível	5	4	4	paroxítona	el	T5
cereal	3	3	3	oxítona	al	T5
mitocondrial	7	5	5	oxítona	al	T5
ignóbil	4	3	3	paroxítona	il	T7
variável	4	4	4	paroxítona	el	T5
pansexual	5	4	4	oxítona	al	T5
incomparável	7	5	5	paroxítona	el	T5
medieval	4	4	4	oxítona	al	T5
temporal	5	3	3	oxítona	al	T5
recital	4	3	3	oxítona	al	T5
irracional	5	5	5	oxítona	al	T5
excepcional	6	5	5	oxítona	al	T5
contestável	7	4	4	paroxítona	el	T5
sexual	3	3	3	oxítona	al	T5
literal	4	3	3	oxítona	al	T5
pedestal	5	3	3	oxítona	al	T5
